Species;Pigmentation;Size;Clitellum;Tubercula pubertatis;Calciferous glands;Spermatheca;Testes
Neogaster csuzdii;dorsally light yellow-brown, lighter ventrally;20 to 30 mm;XIII–XX, annular;absent;two pairs in XIV–XV, lamellar structure;one pair in IX;two pairs in X–XI
Neogaster tumuchumac;dorsally light yellow-brown, ventrally lighter;12 to 17 mm;XIII–XX, annular;absent;two pairs in XIV–XV, lamellar structure;two pairs in VIII–IX;two pairs in X–XI
Omodeoscolex touroulti;dorsally reddish-brown, ventrally light yellow-brown;18 to 25 mm;XIII–XX, annular;absent;two pairs in XIV–XV, lamellar structure;three unpaired in VI–VIII;two pairs in X–XI
Omodeoscolex abamaensis;dorsally light yellow-brown , ventrally lighter;14 to 21 mm;XIII–XX, annular;absent;two pairs in XIV–XV, lamellar structure;three unpaired in VII–IX;two pairs in X–XI
Omodeoscolex tetraspermatheca;dorsally reddish-brown, ventrally light yellow-brown;18 to 26 mm;XIII–XX, annular;absent;two pairs in XIV–XV, lamellar structure;four unpaired in VI–IX;two pairs in X–XI
