Sample ID;COI-5P Seq. Length;OTU;Life Stage;Types;Genus;Species;Collectors;Collection Date;Country/Ocean;Sector;Exact Site;Exact Site 2;Lat;Lon;Elev;Habitat;Microhabitat;Sampling Protocol;Site Code;Collection Event ID;Microhabitat 2
EW-MI15-0330;658[0n];OTU#082;juvenile;Other;Martiodrilus;Martiodrilus luminescens;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah #2 on Sommet en Cloche  Inselberg;2.23293;-54.4609;427;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0591;Cloche_SR2_ROOT;Roots
EW-MI15-0337;658[0n];OTU#082;juvenile;Other;Martiodrilus;Martiodrilus luminescens;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 1 Sommet en Cloche Inselberg;2.23183;-54.4609;401;inselberg transition forest;in litter accumulation on granite rocks;Qualitative sampling on granite rocks;MI15-0592;Cloche_FT1_ROCK;Litter
EW-MI15-0339;658[0n];OTU#082;juvenile;Other;Martiodrilus;Martiodrilus luminescens;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 1 Sommet en Cloche Inselberg;2.23183;-54.4609;401;inselberg transition forest;in litter accumulation on granite rocks;Qualitative sampling on granite rocks;MI15-0592;Cloche_FT1_ROCK;Litter
EW-MI15-0340;658[0n];OTU#082;juvenile;Other;Martiodrilus;Martiodrilus luminescens;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 1 Sommet en Cloche Inselberg;2.23183;-54.4609;401;inselberg transition forest;in litter accumulation on granite rocks;Qualitative sampling on granite rocks;MI15-0592;Cloche_FT1_ROCK;Litter
EW-MI15-0376;658[0n];OTU#082;juvenile;Other;Martiodrilus;Martiodrilus luminescens;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 1 Sommet en Cloche Inselberg;2.23183;-54.4609;401;inselberg transition forest;in litter accumulation on granite rocks;Qualitative sampling on granite rocks;MI15-0592;Cloche_FT1_ROCK;Litter
EW-MI15-0134;658[0n];OTU#083;Adult;Holotype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0378;658[0n];OTU#083;adult;Paratype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0136;658[0n];OTU#083;adult;Paratype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0137;658[0n];OTU#083;adult;Paratype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0133;658[0n];OTU#083;adult;Paratype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0135;658[0n];OTU#083;adult;Paratype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0138;658[0n];OTU#083;adult;Paratype;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0140;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0141;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0142;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0143;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0144;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0145;599[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0146;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0147;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
EW-MI15-0148;658[0n];OTU#083;juvenile;Other;Martiodrilus;Martiodrilus wayana;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;rocky savannah on Borne 1 Inselberg;2.20822;-54.4389;585;inselberg rocky savannah;in terrestrial bromeliad roots;Qualitative sampling in bromeliad roots;MI15-0598;Borne1_SR4_ROOT;Roots
