Sample ID;COI-5P Seq. Length;OTU;Life Stage;Types;Genus;Species;Collectors;Collection Date;Country/Ocean;Sector;Exact Site;Exact Site 2;Lat;Lon;Elev;Habitat;Microhabitat;Sampling Protocol;Site Code;Collection Event ID;Microhabitat 2
EW-MI15-0300;658[0n];OTU#077;juvenile;Other;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project C trail;2.233;-54.444;449;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0557;LayonC_PLA_TRUNK;Trunks
EW-MI15-0011;658[0n];OTU#028;adult;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0542;LayonD_PLA_TRUNK;Trunks
EW-MI15-0197;658[0n];OTU#028;adult;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project A trail;2.238;-54.452;344;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0572;LayonA_PEN_TRUNK;Trunks
EW-MI15-0231;658[0n];OTU#028;adult;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;in termite nest;Qualitative sampling in termite nest;MI15-0589;LayonA_BF_TERM;Trunks
EW-MI15-0294;658[0n];OTU#028;adult;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project C trail;2.233;-54.444;449;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0557;LayonC_PLA_TRUNK;Trunks
EW-MI15-0029;658[1n];OTU#028;cocoon;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0542;LayonD_PLA_TRUNK;Trunks
EW-MI15-0030;658[1n];OTU#028;cocoon;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0542;LayonD_PLA_TRUNK;Trunks
EW-MI15-0031;658[0n];OTU#028;cocoon;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0542;LayonD_PLA_TRUNK;Trunks
EW-MI15-0032;658[0n];OTU#028;cocoon;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0542;LayonD_PLA_TRUNK;Trunks
EW-MI15-0033;658[0n];OTU#028;cocoon;Other;Nouraguesia;Nouraguesia parare;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project D trail;2.216;-54.457;381;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0542;LayonD_PLA_TRUNK;Trunks
